"","study","id","variable","value"
"1","subject","subject 1","tBodyAcc-mean()-X",0.263594619017241
"2","subject","subject 10","tBodyAcc-mean()-X",0.276539698054422
"3","subject","subject 11","tBodyAcc-mean()-X",0.276806257753165
"4","subject","subject 12","tBodyAcc-mean()-X",0.2770194240625
"5","subject","subject 13","tBodyAcc-mean()-X",0.276677213963415
"6","subject","subject 14","tBodyAcc-mean()-X",0.269674978851852
"7","subject","subject 15","tBodyAcc-mean()-X",0.277505892243902
"8","subject","subject 16","tBodyAcc-mean()-X",0.27724234120765
"9","subject","subject 17","tBodyAcc-mean()-X",0.275194017673913
"10","subject","subject 18","tBodyAcc-mean()-X",0.275999144450549
"11","subject","subject 19","tBodyAcc-mean()-X",0.27062338205
"12","subject","subject 2","tBodyAcc-mean()-X",0.270898272245033
"13","subject","subject 20","tBodyAcc-mean()-X",0.267213054581921
"14","subject","subject 21","tBodyAcc-mean()-X",0.277343602779412
"15","subject","subject 22","tBodyAcc-mean()-X",0.2726579538925
"16","subject","subject 23","tBodyAcc-mean()-X",0.273705797793548
"17","subject","subject 24","tBodyAcc-mean()-X",0.274871424710526
"18","subject","subject 25","tBodyAcc-mean()-X",0.276464978530732
"19","subject","subject 26","tBodyAcc-mean()-X",0.271460789091837
"20","subject","subject 27","tBodyAcc-mean()-X",0.278028956170213
"21","subject","subject 28","tBodyAcc-mean()-X",0.276425796753927
"22","subject","subject 29","tBodyAcc-mean()-X",0.281307044924419
"23","subject","subject 3","tBodyAcc-mean()-X",0.272741338082353
"24","subject","subject 30","tBodyAcc-mean()-X",0.275184313115183
"25","subject","subject 4","tBodyAcc-mean()-X",0.279197047025316
"26","subject","subject 5","tBodyAcc-mean()-X",0.275632311033113
"27","subject","subject 6","tBodyAcc-mean()-X",0.271136591478528
"28","subject","subject 7","tBodyAcc-mean()-X",0.27294886324026
"29","subject","subject 8","tBodyAcc-mean()-X",0.269208783578571
"30","subject","subject 9","tBodyAcc-mean()-X",0.275342405743056
"31","subject",NA,"tBodyAcc-mean()-X",0.271119301350415
"32","subject",NA,"tBodyAcc-mean()-X",0.272774105080717
"33","subject",NA,"tBodyAcc-mean()-X",0.278836386119874
"34","subject",NA,"tBodyAcc-mean()-X",0.276474090819861
"35","subject",NA,"tBodyAcc-mean()-X",0.285736883392297
"36","subject",NA,"tBodyAcc-mean()-X",0.261922963645677
"37","activity",NA,"tBodyAcc-mean()-X",0.263594619017241
"38","activity",NA,"tBodyAcc-mean()-X",0.276539698054422
"39","activity",NA,"tBodyAcc-mean()-X",0.276806257753165
"40","activity",NA,"tBodyAcc-mean()-X",0.2770194240625
"41","activity",NA,"tBodyAcc-mean()-X",0.276677213963415
"42","activity",NA,"tBodyAcc-mean()-X",0.269674978851852
"43","activity",NA,"tBodyAcc-mean()-X",0.277505892243902
"44","activity",NA,"tBodyAcc-mean()-X",0.27724234120765
"45","activity",NA,"tBodyAcc-mean()-X",0.275194017673913
"46","activity",NA,"tBodyAcc-mean()-X",0.275999144450549
"47","activity",NA,"tBodyAcc-mean()-X",0.27062338205
"48","activity",NA,"tBodyAcc-mean()-X",0.270898272245033
"49","activity",NA,"tBodyAcc-mean()-X",0.267213054581921
"50","activity",NA,"tBodyAcc-mean()-X",0.277343602779412
"51","activity",NA,"tBodyAcc-mean()-X",0.2726579538925
"52","activity",NA,"tBodyAcc-mean()-X",0.273705797793548
"53","activity",NA,"tBodyAcc-mean()-X",0.274871424710526
"54","activity",NA,"tBodyAcc-mean()-X",0.276464978530732
"55","activity",NA,"tBodyAcc-mean()-X",0.271460789091837
"56","activity",NA,"tBodyAcc-mean()-X",0.278028956170213
"57","activity",NA,"tBodyAcc-mean()-X",0.276425796753927
"58","activity",NA,"tBodyAcc-mean()-X",0.281307044924419
"59","activity",NA,"tBodyAcc-mean()-X",0.272741338082353
"60","activity",NA,"tBodyAcc-mean()-X",0.275184313115183
"61","activity",NA,"tBodyAcc-mean()-X",0.279197047025316
"62","activity",NA,"tBodyAcc-mean()-X",0.275632311033113
"63","activity",NA,"tBodyAcc-mean()-X",0.271136591478528
"64","activity",NA,"tBodyAcc-mean()-X",0.27294886324026
"65","activity",NA,"tBodyAcc-mean()-X",0.269208783578571
"66","activity",NA,"tBodyAcc-mean()-X",0.275342405743056
"67","activity","LAYING","tBodyAcc-mean()-X",0.271119301350415
"68","activity","SITTING","tBodyAcc-mean()-X",0.272774105080717
"69","activity","STANDING","tBodyAcc-mean()-X",0.278836386119874
"70","activity","WALKING","tBodyAcc-mean()-X",0.276474090819861
"71","activity","WALKING_DOWNSTAIRS","tBodyAcc-mean()-X",0.285736883392297
"72","activity","WALKING_UPSTAIRS","tBodyAcc-mean()-X",0.261922963645677
"73","subject","subject 1","tBodyAcc-mean()-Y",-0.0181902468034682
"74","subject","subject 10","tBodyAcc-mean()-Y",-0.0174248311251701
"75","subject","subject 11","tBodyAcc-mean()-Y",-0.0189938269594304
"76","subject","subject 12","tBodyAcc-mean()-Y",-0.018944532187603
"77","subject","subject 13","tBodyAcc-mean()-Y",-0.0194991494222086
"78","subject","subject 14","tBodyAcc-mean()-Y",-0.0170655363601863
"79","subject","subject 15","tBodyAcc-mean()-Y",-0.0171030768436585
"80","subject","subject 16","tBodyAcc-mean()-Y",-0.0150631708131694
"81","subject","subject 17","tBodyAcc-mean()-Y",-0.0182448541178261
"82","subject","subject 18","tBodyAcc-mean()-Y",-0.0180215504944506
"83","subject","subject 19","tBodyAcc-mean()-Y",-0.0170252316948389
"84","subject","subject 2","tBodyAcc-mean()-Y",-0.019765251302649
"85","subject","subject 20","tBodyAcc-mean()-Y",-0.0181469627423729
"86","subject","subject 21","tBodyAcc-mean()-Y",-0.017303869894902
"87","subject","subject 22","tBodyAcc-mean()-Y",-0.0150375897349255
"88","subject","subject 23","tBodyAcc-mean()-Y",-0.0189747762547903
"89","subject","subject 24","tBodyAcc-mean()-Y",-0.0179023704583665
"90","subject","subject 25","tBodyAcc-mean()-Y",-0.0199530064681373
"91","subject","subject 26","tBodyAcc-mean()-Y",-0.015661823330352
"92","subject","subject 27","tBodyAcc-mean()-Y",-0.0162505857885638
"93","subject","subject 28","tBodyAcc-mean()-Y",-0.0189122737055497
"94","subject","subject 29","tBodyAcc-mean()-Y",-0.0184309587472093
"95","subject","subject 3","tBodyAcc-mean()-Y",-0.0170219016807602
"96","subject","subject 30","tBodyAcc-mean()-Y",-0.0167792248525
"97","subject","subject 4","tBodyAcc-mean()-Y",-0.00910065746823899
"98","subject","subject 5","tBodyAcc-mean()-Y",-0.0138273449531987
"99","subject","subject 6","tBodyAcc-mean()-Y",-0.0173211848064198
"100","subject","subject 7","tBodyAcc-mean()-Y",-0.0186750133479221
"101","subject","subject 8","tBodyAcc-mean()-Y",-0.0153419366234043
"102","subject","subject 9","tBodyAcc-mean()-Y",-0.0237644918223542
"103","subject",NA,"tBodyAcc-mean()-Y",-0.0180098034159694
"104","subject",NA,"tBodyAcc-mean()-Y",-0.012233531623435
"105","subject",NA,"tBodyAcc-mean()-Y",-0.0155587764310031
"106","subject",NA,"tBodyAcc-mean()-Y",-0.0177465685108949
"107","subject",NA,"tBodyAcc-mean()-Y",-0.0164828563064347
"108","subject",NA,"tBodyAcc-mean()-Y",-0.0257366299155787
"109","activity",NA,"tBodyAcc-mean()-Y",-0.0181902468034682
"110","activity",NA,"tBodyAcc-mean()-Y",-0.0174248311251701
"111","activity",NA,"tBodyAcc-mean()-Y",-0.0189938269594304
"112","activity",NA,"tBodyAcc-mean()-Y",-0.018944532187603
"113","activity",NA,"tBodyAcc-mean()-Y",-0.0194991494222086
"114","activity",NA,"tBodyAcc-mean()-Y",-0.0170655363601863
"115","activity",NA,"tBodyAcc-mean()-Y",-0.0171030768436585
"116","activity",NA,"tBodyAcc-mean()-Y",-0.0150631708131694
"117","activity",NA,"tBodyAcc-mean()-Y",-0.0182448541178261
"118","activity",NA,"tBodyAcc-mean()-Y",-0.0180215504944506
"119","activity",NA,"tBodyAcc-mean()-Y",-0.0170252316948389
"120","activity",NA,"tBodyAcc-mean()-Y",-0.019765251302649
"121","activity",NA,"tBodyAcc-mean()-Y",-0.0181469627423729
