"","subject","tBodyAcc-mean()-Z"
"1",1,-0.106487431864943
"2",2,-0.115995490966887
"3",3,-0.105920029706012
"4",4,-0.111584088772152
"5",5,-0.106988899046358
"6",6,-0.116500748907975
"7",7,-0.109989409887013
"8",8,-0.105519896622857
"9",9,-0.103190798166667
"10",10,-0.113869377997279
"11",11,-0.10735430435443
"12",12,-0.10710899125625
"13",13,-0.111799719409146
"14",14,-0.101207160237037
"15",15,-0.111394509835366
"16",16,-0.107997710196721
"17",17,-0.108152349619946
"18",18,-0.107910266112088
"19",19,-0.1183992138
"20",20,-0.105984598219209
"21",21,-0.110297567656863
"22",22,-0.110048198829375
"23",23,-0.110229561040376
"24",24,-0.107765859489474
"25",25,-0.10946468037561
"26",26,-0.108147130087755
"27",27,-0.111512109638298
"28",28,-0.11010313327644
"29",29,-0.109132383469186
"30",30,-0.104558855931937
