"","subject","tBodyAcc-std()-X"
"1",1,-0.547885746921555
"2",2,-0.605742611231788
"3",3,-0.623373342853801
"4",4,-0.603351443798742
"5",5,-0.506063735760265
"6",6,-0.503160795916667
"7",7,-0.572504019379221
"8",8,-0.586009088821986
"9",9,-0.548567488770833
"10",10,-0.535282991993197
"11",11,-0.586933614229747
"12",12,-0.581516969935625
"13",13,-0.624906791828834
"14",14,-0.611990543725466
"15",15,-0.555897911318902
"16",16,-0.668819182286339
"17",17,-0.613333940664837
"18",18,-0.696321636813187
"19",19,-0.575501688658333
"20",20,-0.604022687422599
"21",21,-0.67246703304902
"22",22,-0.545614322704534
"23",23,-0.621959508573656
"24",24,-0.67755785406178
"25",25,-0.717813491818627
"26",26,-0.623366137841837
"27",27,-0.663228167053191
"28",28,-0.64988181421466
"29",29,-0.579646641002907
"30",30,-0.616191911291667
