"","subject","tBodyAcc-std()-Y"
"1",1,-0.365274282317241
"2",2,-0.426730906988742
"3",3,-0.470623137318824
"4",4,-0.523030092734494
"5",5,-0.401770871980795
"6",6,-0.372243719584724
"7",7,-0.552793139641558
"8",8,-0.349744380985714
"9",9,-0.575565722916667
"10",10,-0.495168529002721
"11",11,-0.496130679361392
"12",12,-0.52489291238
"13",13,-0.449589903594512
"14",14,-0.374388302021852
"15",15,-0.477039910665061
"16",16,-0.654294556802732
"17",17,-0.564955855016196
"18",18,-0.627617604258242
"19",19,-0.5005880932075
"20",20,-0.368085063570621
"21",21,-0.56617061937701
"22",22,-0.49574288796875
"23",23,-0.533781380229409
"24",24,-0.581945111106316
"25",25,-0.537109483781463
"26",26,-0.580564027484184
"27",27,-0.627702694728192
"28",28,-0.573300826156021
"29",29,-0.593210615099419
"30",30,-0.520633961557068
